,data,label
0,Trả lời rất nhiệt tình gói hàng cẩn thận quá trời máy dùng quá ổn so với giá tiền ,1
1,Sản phẩm không đúng như rao bán.,0
2,Chất lượng sản phẩm tuyệt vời! Shop phục vụ rất tốt! Đóng gói sản phẩm rất đẹp và chắc chắn!,1
3,Bim tốt. Ung hộ shop dai dai,1
4,Hộp còn nguyên tem chưa có dấu hiệu bị bóc son thơm mùi kẹo mà lại mướt nữa 😩😩 Không sai lầm khi mua hai cây về,1
5," Chất lượng sản phẩm tuyệt vời.
Y chang bộ sạc Đập hộp Redmi note 3.
 Đóng gói sản phẩm rất đẹp và chắc chắn",1
6,Hơi nhỏ so với mình nghĩ nhưng đẹp,1
7,Sp rất kém. Len chụp cũng vậy,0
8,không nhận được hàng đặt 20 ngày không đến. shop kiểm tra lại.,0
9,Shop mix cho mình rất nhiều nhiều  rất thích .  Đóng gói sản phẩm rất đẹp và chắc chắn .  Shop phục vụ rất tốt,1
10,Thật sựu rất tệ cực kì tệ. Lem ngay từ những lần chớp mắt đầu tiên. May là đợi mua về cẩn thận thử trước ở nhà không thì ra ngoài đường với đôi mắt ấy thì... Khuyên mn nếu muốn mua thì mua màu xám là đỡ nhất! Mua về mất tiền mà không dùng được :((((,0
11,Ok sp đúng như hình,1
12,Đẹp Ạ...,1
13,Sản phâm quá tệ giao hàng lộn mà còn không chịu trách nhiệm còn kêu khách vất đôi giày đi.  Chất lượng sản phẩm rất kém ,0
14,Giao hàng nhanh shop tư vấn rất nhiệt tình vali rất đẹp. ,1
15,Sữa ko ổn,0
16,Shop phuc vu tot. Minh hai long. Cam on shop. ,1
17,Không ưng ý,0
18,Chất lượng thì ok .nhưng shop giao mũ sai màu mình chọn ,1
19,Shop chăm sóc khách hàng nhiệt tình.  Chất lượng sản phẩm tuyệt vời. Đóng gói sản phẩm rất đẹp và chắc chắn.,1
20,😂😂😂 Rất không đáng tiền,0
21, Chất lượng sản phẩm rất kém.không như hình quảng cáo.,0
22, Đóng gói sản phẩm rất đẹp và chắc chắn. Giao hàng cực nhanh sách rất hay và toẹt dời 5* còn ít phải 500* mới đc 😍😍,1
23,Không đúng như mẫu đã chọn,0
24, Chất lượng sản phẩm rất kém không giống miêu tả cái này giống hàng loại của các công ty dạt ra hơn đường may xấu không nên mua ,0
25,Giao hàng ko đúng phân loại hàng mà mình chọn.,0
26,sách bị sứt góc tiki nên xem lại chất lượng trước khi gửi hàng!,0
27,chậu mỏng,0
28,- Giao hàng rất nhanhsản phẩm đẹp,1
29,Rất nhanh chóng xứng đáng 5 sao,1
30,Form hơi nhỏ ,1
31,Mua hàng của shop nhiều lần rồi lần nào cũng rất chim ưng. ❤😍Thanks shop nhiều ạ ❤❤,1
32, Thời gian giao hàng cực kì chậm,0
33, Đóng gói sản phẩm rất đẹp và chắc chắn. Nhưng tốc độ không tốt lắm. ,1
34,Tôi thật sự bất ngờ với sản phẩm mình nhận giá rẻ thế mà chất lượng thật tốt đẹp lại là loại kích thước lớn chứ không phải loại mini. Ok tôi sẽ đặt 1 đơn hàng nữa.,1
35,Đóng gói đẹp tốt... cọ đẹp tuyệt vời ôngg mặt trời... yêu lắm 💋,1
36," Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn Rất đáng tiền Thời gian giao hàng rất nhanh
cứ nghĩ nhận được hàng lởm thôi ai dè nhìn bao bì cũng đàng hoàng phết có cả user manual lạ còn bảo hành 6 tháng nữa.",1
37,tiki đóng gói sản phẩm rất tệ để trong thùng lại không bọc đc một cái bọc để tránh dơ sách. Sách bị ướt lại còn rất dơ,0
38, Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn Shop phục vụ rất tốt Rất đáng tiền Thời gian giao hàng rất nhanh 1 ngày đã nhận đc hàng.,1
39,Giày đẹp + giao hàng nhanh,1
40,Bỉm không giống bỉm mình đã từng dùng.,0
41,Thấy có đủ dung lượng sim đã đc kích hoạt trước nên k bit dc đến bao giờ sóng cũng tạm đc.,1
42,Đúng màu nhưng nhãn hiệu khác không giống mô tả,0
43,sp may ko đẹp . vải xấu... hơi thất vọng với shop,0
44, Chất lượng sản phẩm tuyệt vời không biết shop cho thêm cái giống cái muỗng để làm gì. Hjhj,1
45,may rat do luc may thi keu rat to noi chung la dol lam,1
46,Áo ko đúng màu yêu cầu lấy đỏ lại giao hồng,1
47,Giày đẹp y ảnh đi rất êm chân đúng size. Recommend.,1
48,Sản phẩm tốt cảm ơn shop.,1
49,Gói hàng kỹ chủ shop nhiệt tình tư vấn và còn tặng thêm 1 mask cho mh do k được free ship mong shop có thêm nhiều sp để mh ủng hộ ☺️☺️,1
50, Chất lượng sản phẩm rất kém hàng không giống hình quảng cáo,0
51," Đóng gói sản phẩm rất đẹp và chắc chắn.
Mới dùng thấy ok. Hi vọng xài ổn.",1
52,Sản phẩm đẹp chất lượng. Sẽ quay lại ủng hộ shop,1
53,Mạng cực kì kém không thể dùng được. Thất vọng về sản phẩm đã vậy lại còn nhiều tin nhắn rác nhắn ồ ạt như khủng bố người dùng lắp vào máy được 1 ngày hôm sau không dám dùng nữa luôn. Cho 5* vì sim cả đầu cả cuối đều là ngày tháng sinh của mình 0523...2305😊,1
54, Chất lượng sản phẩm tuyệt vời  đóng gói sản phẩm rất đẹp và chắc chắn!!!!!! ❤️❤️💕💕,1
55,Chất lượng sp tốt. Núm mềm. Nhưng bạn nhà mình vẫn chỉ nhay nhay mà kiên quyết k bú :((,1
56, Shop ghi là kobuko nhưng khi nhận thì k phải hãng đó,0
57,Sp tam dk hop vs gia tien giay nay di vao mua dong thi dk nhung di em chan,1
58,Shop ship hơi chậm ,1
59,E note la lay ga truyen thong vs ga toi. Ma giao e 2bich kho ga la chanh luon... mui la chanh e k an dc ,1
60,Khăn rất mềm đẹp giá quá yêu so với chất lượng,1
61,Chất lượng sản phẩm tuyệt vờiRất đẹpchị Trang- đương nhiênchị ấy rất thân thiện.Tóm gọn 3 chữ: Đẹp-đáng tiền-và hoàn hảo,1
62,Sáp mềm êm êm bền lâu trôi chính hiệu.,1
63,Vải xấu. Đường may k đẹp. Bị xì đay trước. Thất vọng.  Chất lượng sản phẩm rất kém,0
64,"Shop phục vụ rất tốt
 Thời gian giao hàng rất nhanh
 Đóng gói sản phẩm rất đẹp và chắc chắn
",1
65,Sao giao hang ko đung nhu Hinh vay,0
66, Đóng gói sản phẩm rất đẹp và chắc chắn. Máy hơi nhỏ xíu nhưng sài rất ok. Tinh dầu thơm nghi ngút.,1
67," Chất lượng sản phẩm tuyệt vời Chất lượng sản phẩm tuyệt vời Rất đáng tiền 
Giao hàng hơi chậm chút ",1
68, Chất lượng sản phẩm tuyệt vời giá cả hợp lý   Đóng gói sản phẩm rất đẹp và chắc chắn Thời gian giao hàng rất nhanh. Chủ shop nhiệt tình dễ tính.sẽ xòn ủng hộ nhiều nhiều (y),1
69,TÔI CHƯA NHẬN ĐƯỢC HÀNG VÌ HÀNG TÔI BỊ THẤT LẠC,0
70,Áo vay ma bao la giong (may chu mickey đen con in loang lố)noi chung k hai Long .Keu tra hang thi con lâu cho tra nhe,0
71, Đóng gói sản phẩm rất đẹp và chắc chắn.như hình.tốt Chất lượng sản phẩm tuyệt vời.chúc Shop lm ăn phát đạt.iu Shop nhiều.ng y thả là ưng.😍😍😍,1
72,"Tiện dụng
phần mắt nhỏ quá phải tự thiết kế lại
nạ khá rộng",1
73,mua giày 1 kiểu gửi 1 kiểu.hk đúng,0
74,Bữa h bận gói điều gửi sang nước ngoài mà quên review shop. Mình ăn thử quả thật rất ngon và độ mặn vừa phải. Ít vụn. Cảm ơn shop,1
75,Gói hành quá ẩu. Bị dập nước tẩy trag ,0
76,Giá rẻ hàng đẹp.,1
77," Chất lượng sản phẩm tuyệt vời Thời gian giao hàng rất nhanh
. Đóng gói sản phẩm ko đẹp và  chắc chắn. ",1
78," Chất lượng sản phẩm tuyệt vời ủq hộ shoo 6 đôi nữa lun
",1
79,Đợi mình xem kết quả thế nào đã vừa nhận hàng hôm qua,1
80,Hình 1 kiểu sp 1 kiểu,0
81, Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn Đóng gói sản phẩm rất đẹp và chắc chắn Rất đáng tiền Thời gian giao hàng rất nhanh. Thời gian giao hàng rất nhanh,1
82, Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn Rất đáng tiền Thời gian giao hàng rất nhanh mình rất thích ❤️ cảm ơn shop,1
83,Có tem bảo hành rất uy tín. Dây cáp chắc chắn 2 đầu cắm cứng cáp k bị lỏng lẻo nên pin sạc vào cho thiết bị khá nhanh. Chất lượng sản phẩm tuyệt vời. Đóng gói sản phẩm rất đẹp và chắc chắn. Shop phục vụ rất tốt. Rất đáng tiền. Thời gian giao hàng rất nhanh,1
84, Chất lượng sản phẩm kém. Bị dính và cháy theo vòng tròn. K nóng đều bề mặt,0
85,"Chân 26,5 đi 43 thoải mái, shop tư vấn rất nhiệt tình tuyệt vời
Hình thì các bạn kia cũng chụp r nên ko cần chụp nữa,
Nếu được thì shop nên cho một cái hộp bên ngoài để hộp bitis đẹp hơn khi vận chuyển giữ được hộp bên trong
Cảm ơn shop",1
86,Đã nhận được hàng  chưa sd nên chưa bit hàng thật hay giả  tạm thời tin tưởng shop đã ạ,1
87, Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn  Shop phục vụ rất tốt Rất đáng tiềnma thoi gian giao hang hoi lau ,1
88,Một số đã hết mực  Chất lượng sản phẩm kém,0
89,Hàng đẹp giao hàng hoi lâu,1
90, Thời gian giao hàng rất nhanh Đã dùng qua nhiều loại chất mask mỏng serum dễ thấm rất ưng  Rất đáng tiền,1
91,Sau moi xai 1tuan ma cuoc bao la 225000 k sao ki vay tron goi 1nam ma,1
92,Kiểu mẫu nhìn thì đẹp. Nhưng giày rất cứng mang bị đau chân. Đã chọn size nhỏ hơn 1 số nhưng vẫn bị rộng. ,1
93, Đóng gói sản phẩm kémMình đặt cả size M và S mà shop toàn giao size S. Đóng gói cùng size S mà đôi thì bé đôi thì to,0
94, Đóng gói sản phẩm rất đẹp và chắc chắn Shop phục vụ rất tốt,1
95,Ko dep,0
96,Đánh 1* vì không có 0*.Đặt 3 gói Monny L44 tt thẻ ở tp HCM nhưng 1 tuần mới nhận đc gói hàng bằng 1 túi nilong do người nhà nhận dùm khi mình kiểm tra thì thấy có 1 gói nên yc hoàn tiền và yc gọi dt yc shop giao 2 gói thiếu shop hứa và đợi đến ngày cuối cùng gửi trả hàng thì không thấy đâu.,0
97,Shop phục vụ rất tốt!! Chất lượng sách rất đáng tiền!!  ,1
98,Giày  đẹp  các b nên mua  nhưng mua lên  1 size vì fom nhỏ màu  nâu  k tươi như hình  nhưng ns chung ưng  lắm cảm ơn  shop,1
99, Chất lượng sản phẩm tuyệt vời! Bánh thơm lắm! Con em vừa ăn vừa rung đùi.:))),1
100,shop cho e hỏi bình sữa k có núm kèm theo ạ,0
101,Sao sim mình mua tháng 7 mà hạn sử dụng 14 tháng 9 là sao hả shop ,0
102,Bìa mỏng ship cao,0
103,chỉ wax được lông tơ thôi chứ lông cứng ko được giấy wax thì dính ko thể vuốt mua xong cảm thấy uổng tiền,0
104,Lon bia bị méo móp rất nhiều.shop lưu ý vấn đề này.,1
105,Ms gửi hàng về mà đã dính bẩn mấy chỗ như hộp bút cũ,0
106,Sản phẩm xạc đầy ko tự ngắt hàng ko đúng như shop nói,0
107,Dép cứng nên đi lúc là đau bàn chân,0
108, Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắngói hàng siêu kỹ  Shop phục vụ rất tốt Rất đáng tiền Thời gian giao hàng siêu nhanh.,1
109,Kiểu bị khô khó chuốt,1
110,Nhìn có vẻ nhạt.............,0
111,Đóng gói hàng cẩn thận Sản phẩm ít bọt  rửa xong thấy da khô  căng . Nên dùng thêm với xịt khoáng để dưỡng ẩm,0
112,Giầy rất đẹp! Giống hình 100%,1
113," Chất lượng sản phẩm tuyệt vời
Shop huong dan su dung va cham soc khach hang rat tot",1
114, Shop phục vụ rất tốt. Mua 2 bộ nhưng có 1 bộ chất xấu hơn bộ còn lại. ,1
115,Sản phẩm ok. Đóng gói kĩ. Nhận hàng có kèm theo dây thít để cố định quạt. ,1
116,Sim dùng tốt. Mạng 4g vina ở sài gòn tốt nhất rồi,1
117,Độ bền thì chưa đánh giá nhưng xài ok lăm nha,1
118,Khá ưng ý sản sản phẩm. Rất đẹp. Cảm ơn shop. ,1
119,Ốp bị vỡ có đổi hay hoàn tiền đươc không shop?,0
120,Chất lượng sản phẩm quá kém. Giao son đến son đã đứt dưới phần thân. Bên cạnh son thì có nhiều vệt xước. Không đáng 1sao!!!!,0
121,Mấy xay ko được nha mọi người ngay cả xay yến mạch còn ko nhừ nửa xay gi ,0
122,Chất lượng so với giá rất ổn,1
123,Kem lót và kem nền đánh mướt và độ che phủ khá cao ❤️ rất oke lần sau ủng hộ shop tiếp❤️,1
124,Sản phẩm không đúng   Shop phục vụ rất kém,0
125, Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn Rất đáng tiền nhưng T có ghi chú hướng dẫn sd khoá ma k có thấy sp giống y như hình ,1
126,Giày k giống hình ,0
127, Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn Nên mua nhé ,1
128,Theo mình  nghĩ chát đay ko phải la mục xay ma la thịch Heo  thi phai ko co mui vi của nó  nhúng van cho 5 ***** mong Shop bán hang co tam đưng vi ham muốn lời nhuan nhieu ma ko còn  la chính mjh nữa ,1
129,Hàng ko vừa với máy phí tiền,0
130,Mẫy mã đẹp  y hình.  Đóng gói chẵ Đóng gói sản phẩm rất đẹp và chắc chắn,1
131,Chua dùng lên k biết sản phẩm tốt không Thời gian giao hàng rất nhanh,0
132,Hoi bé so voi may cai m mua o shop khac nhung dung cũng ok,1
133, Đóng gói sản phẩm rất đẹp và chắc chắn Rất đáng tiền Shop phục vụ rất tốt nhưng màu ko giờ cho lắm nhưng phù hợp với giá tiền.,1
134,Đồng hồ nhẹ hơn cả xốp đã vậy còn giao cho 1 cái đồng hồ hỏng ko chạy. Tưởng đâu hết pin mất thêm tiền mua thêm cục pin hóa ra là hỏng chứ ko phải hết pin ạ. Nhắn tin hoặc gọi với mong muốn để đổi ko bao giờ đc. Mất tiền mất thời gian.,0
135,chất lượng qa tệ giầy giong nhu giây thanh lý ,0
136,"Mình đã nấu thử thấy đạt chất lượng, cơm dẻo, dễ ăn 👍
 Rất đáng tiền. Giá 20k/kg mua được các bạn ạ. 

   Shop phục vụ rất tốt",1
137,Kem thẩm thấu nhanh. Mướt. Mùi thơm thoang thoảng dịu nhẹ thơm mùi sữa,1
138,Tốt đúng mẩu mã,1
139,Quá đep,1
140,Nhìn mặc rất yêu nhưng vải có mùi quá. Giặt ngâm các kiểu mà vẫn ko hết. Nhưng nhìn chung là rất ok,1
141,"Cùng mức giá này,nếu dùng hàng Tq ta có rất nhiều máy của Xiaomi,Huawei với thông số cao gấp rưỡi đến gấp đôi và chất lượng thì đã được kiểm chứng là tốt.Tóm lại là bỏ qua ốp bồ.",0
142,Sp ko hề giống hình. Ghế bơm căng lên bị nhăn nhúm. Bé khó ngồi. Giờ vứt 1 góc,0
143,Sai mẫu mã sản phẩm kém chất lượng... Thất vọng ,0
144,Giao hàng nhanh sp tuyệt vời! Thank shop!,1
145, Chất lượng sản phẩm rất kém thái độ phục vụ không chấp nhận đc. Mọi người không nên mua hàng ở đây,0
146,tiếng kêu nhỏ quá ship hàng thì lâu không hài lòng với sản phẩm này.,0
147,Máy ko chạy được pin xạc nguyên đêm dùng đc 5p rồi tịt hẳn. Nhắn tin hỏi bảo hành thấy shop đã xem mà ko hồi âm!,0
148,Ưng :)) mỗi cái ko nghĩ son đặc vậy thui ,1
149,NGũ cốc thơm uống ngon hi vọng có tác dụg,1
150,"Bất ngờ. Quá bất ngờ.
",1
151, Chất lượng sản phẩm tuyệt vời . Sạc ổn định không nóng nhiều,1
152,"sữa về liền sau khi shop hướng dẫn
nhưng đúng như shop nói
làm mẹ thì phải kiên trì
và mình đã thành công
sẽ gắn bó lâu dài",1
153,Giao hang lịch su. Hang dẹp chất luong,1
154,Váy ko có nút Cổ áo nhỏ không mặc vào được dù bên dưới vừa ,0
155,Chất lượng sản phẩm kém Đóng gói sản phẩm kém Thời gian giao hàng chậm,0
156,áo xấu hơn hình nhieu. hơi that vọng,0
157,Sp tốt bọc cẩn thận,1
158,"Nếu ai đó có ý định mua hàng của shop này thì nên suy nghĩ lại.Lần 1 giao hàng bị vỡ nắp, shop nói do vận chuyển, đổi lại cho mình. Lần 2 vẫn là nắp vỡ và vẫn đổ cho vận chuyển. Không lẽ khách hàng phải chịu rủi ro do vận chuyển của shop gây ra.
Và shop cũng không hồi âm lại tôi tiếp.",0
159,Xài mê lắm.Độ pH thấp nên k làm da bị khô sau khi rửa mặt,1
160,Phục vụ không tốt. Phản hồi k có ,0
161,Sp Ok.,1
162," Đóng gói sản phẩm rất đẹp và chắc chắn
Chưa test thử nhưng thấy rất ok",1
163,Sản phẩm kém chất lượng. Thất vọng. Mới mua được 10 ngày sản phẩm hết pin. Không biết còn có thêm lỗi gì nữa không,0
164,Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn . Lần sau có gì Sẽ ủng hộ shop,1
