,Unnamed: 0,data,label,Unnamed: 0.1
0,0, Shop phục vụ rất kémKo có đạo đức nghề nghiệp ,0,
1,1,sản phẩm giống hình nhưng áo rộng dài còn quần ngắn không ưng ý laems,0,
2,2," Chất lượng sản phẩm tuyệt vời Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn Rất đáng tiền
",1,
3,3, Chất lượng sản phẩm tuyệt vời .Đóng gói sản phẩm rất đẹp và chắc chắn giao hàng rất nhanh.,1,
4,4, Shop tư vấn rất tốt ,1,
5,5,Mình không nghĩ hàng chỉ còn hơn 1 tháng HSD mà TIKI vẫn giao đến KH - đặc biệt hàng dành cho trẻ em. Làm sao KH chỉ sử dụng chai này hết trong 1 tháng?,0,
6,6,Dat hang mau nay gui mau kia nt thi khong tlaă,0,
7,7, Chất lượng sản phẩm rất kém Thời gian giao hàng rất chậm Dịch vụ nhìn chung rất kém,0,
8,8,IPhone 5 thuong 4 chan .con  iPhone 5s chi co 3 chan thoi.hoi chua,1,
9,9,Sản phẩm bị sử dụng rồi mà vẫn giao,0,
10,10,Đóng gói sản phẩm rất đẹp và chắc chắn Shop phục vụ rất tốt giá thành cũng rẻ chất lượng thì chưa dùng nên chưa biết. ,1,
11,11, Chất lượng sản phẩm tuyệt vời.  Đóng gói sản phẩm rất đẹp và chắc chắn. Giao hàng nhanh như chớp. Đặt size to quá nên nhờ shop gửi lại thì dc trợ giúp. nhận dc hàng rất hài lòng. Thank shop,1,
12,12,"Chất lượng sản phẩm rất kém
Lúc mới mua về cắm adapter rất lâu thì router mới lên nguồn. Sử dụng được đúng 2 ngày thì cổng Wan chết =))).  
Gọi số bảo hành thì số không gọi được. 
Rất không đáng tiền",0,
13,13, Đóng gói sản phẩm rất đẹp và chắc chắn good,1,
14,14, Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn và Thời gian giao hàng rất nhanh  Shop phục vụ rất tốt,1,
15,15,Mình mua bình này cách đây hơn 1 năm thấy sản phẩm đang giảm 45% nên vào góp ý cho các bạn định mua. Phải nói bình quá tệ lại hôi nữa chưa kể chỉ cần bình va chạm nhẹ là bị móp nhìn rất xấu nhất là cái nắp móp vô độ hở phát là móp. Mình xài được 1 thời gian là bên trong bình có cái gì như cục sỏi vậy rửa bình rất sạch không đụng gì nhưng lúc lắc lại nghe tiếng kêu bên trong. Rất ức chế vì chả biết cái bình nó chứa cái gì trong đó mà không biết nó độc hại hay không. Bây giờ mình đã vứt em nó 1 xó và không xài được nửa năm rùi. Công nhận hàng tàu mà rẻ có khác. Siêu cùi giảm 80% mình cũng không thèm mua lại,0,
16,16,Đóng gói sp tốt ..giao hàng nhanh ..chất lượng thì chưa dùng lâu mà lịch thì thấy k chạy rồi,1,
17,17,"Mình mua hàng nhiều lần ở Tiki từ sách cho tới sản phẩm kỹ thuật số và đây là lần đầu tiên mình muốn gửi đánh giá của mình cho sản phẩm này. Mình lướt fb thì thấy một friend của mình viết tút khá dài kèm một bức ảnh đang cầm quyển sinh trắc vân tay này (cũng chưa biết bạn ấy đọc hết chưa mà cầm cứ như quyển bí kiếp võ công thượng thừa vậy) bạn này cũng khá đam mê và có tiếng trong lĩnh vực này mình thấy cũng tò mò và muốn thử xem thế nào nên lên Tiki order. Sau khi nhận được sách và thao lược vài chục trang thì mình thấy sách dịch rất cùi cùi dã man cùi luôn đọc chả suôn gì cả cà khựng cà khựng ý tứ lủng củng đôi chỗ phải vận não ra suy nghĩ xem viết cái giống gì. Cảm tưởng như đọc mấy trang bói tử vi rẻ tiền trên mạng vậy (dù mình chẳng phải fan của tử vi tướng số gì cả). Không rõ cái này do dịch kém hay do ông tác giả viết loạn xà ngầu. Mình nhớ 1 cụm từ mà thề là suốt đời chắc mình không hiểu được ý nghĩa luôn: """"Hoạt động tinh"""" """"Hoạt động tinh"""" (nằm ở vài chục trang đầu trong sách ấy). Các bạn có hiểu hoạt động tinh là gì không? Tinh tờ rùng hay tinh tờ hần? Mà éo le cái là cụm từ này đi liền với trẻ em. """"Hoạt động tinh ở trẻ"""". Đọc rất buồn cười. Mình chưa đọc xong nhưng bấy nhiêu thôi cũng làm mình thấy mấy ông làm sách chả có tâm tí nào? Hay mình đang đọc bản lậu?",0,
18,18,sao hàng mua trên tiki lại khác a vs hàng m đang dùng mua trong siêu thị. có fai hàng rỡn ko v,0,
19,19," Chất lượng sản phẩm tuyệt vời
Mua quen của shop r. Hàng chuẩn khỏi bàn. Giao hàng nhanh nữa 😍😍",1,
20,20,Dùng đc 2 ngày bị hỏng sửa mất gần trăm nghìn 😢,0,
21,21,Đóng gói rất xấu ,0,
22,22, Chất lượng sản phẩm tuyệt vời đóng gói sản phẩm rất đẹp và chắc chắn giao hàng siu nhanh chỉ có 1 điểm trừ duy nhất là đậu phộng không được cay cho lắm.,1,
23,23, Đóng gói sản phẩm rất kém. Ung ho nhiều don. Giao bịch thu 2 Rạch . K 1cau xl. Thai do qua kem. Kêu bô thường roi chan kh. Vây ly do la j. Lo mua ung ho roi Nen cho 1s . Qua xung dang. Minh đạt nhug đon nay truoc khi b vo noi xâu minh,0,
24,24,Giao nhầm hàng. Mặc dù đã viết note lại dặn rất cẩn thận mà shop cũng ko hồi âm tư vấn cho khách,0,
25,25,Chất liệu tệ vải có vẻ không được tốt cho lắm. Dáng cũng ko đẹp. Nói chung là không ưng ý,0,
26,26,Chất lượng sản phẩm tuyệt vời. Thời gian giao hàng rất nhanh Shop phục vụ rất tốt,1,
27,27,Giao hàng kh đúng màu. Mặc dù đã chú thích.  ,0,
28,28,Cài đặt và sử dụng rất dễ dàng,1,
29,29,Sp siêu xih lun shop ơi,1,
30,30,Dây bị lỗi bog tróc Chất lượng sản phẩm kém,0,
31,31,Nho hạt to như hình in trên hộp ăn rất ngon. Đóng gói sản phẩm cẩn thận. ,1,
