,data,label
0, Shop phục vụ rất kémKo có đạo đức nghề nghiệp ,0
1,sản phẩm giống hình nhưng áo rộng dài còn quần ngắn không ưng ý laems,0
2," Chất lượng sản phẩm tuyệt vời Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn Rất đáng tiền
",1
3, Chất lượng sản phẩm tuyệt vời .Đóng gói sản phẩm rất đẹp và chắc chắn giao hàng rất nhanh.,1
4, Shop tư vấn rất tốt ,1
5,Mình không nghĩ hàng chỉ còn hơn 1 tháng HSD mà TIKI vẫn giao đến KH - đặc biệt hàng dành cho trẻ em. Làm sao KH chỉ sử dụng chai này hết trong 1 tháng?,0
6,Dat hang mau nay gui mau kia nt thi khong tlaă,0
7, Chất lượng sản phẩm rất kém Thời gian giao hàng rất chậm Dịch vụ nhìn chung rất kém,0
8,IPhone 5 thuong 4 chan .con  iPhone 5s chi co 3 chan thoi.hoi chua,1
9,Sản phẩm bị sử dụng rồi mà vẫn giao,0
10,Đóng gói sản phẩm rất đẹp và chắc chắn Shop phục vụ rất tốt giá thành cũng rẻ chất lượng thì chưa dùng nên chưa biết. ,1
11, Chất lượng sản phẩm tuyệt vời.  Đóng gói sản phẩm rất đẹp và chắc chắn. Giao hàng nhanh như chớp. Đặt size to quá nên nhờ shop gửi lại thì dc trợ giúp. nhận dc hàng rất hài lòng. Thank shop,1
12,"Chất lượng sản phẩm rất kém
Lúc mới mua về cắm adapter rất lâu thì router mới lên nguồn. Sử dụng được đúng 2 ngày thì cổng Wan chết =))).  
Gọi số bảo hành thì số không gọi được. 
Rất không đáng tiền",0
13, Đóng gói sản phẩm rất đẹp và chắc chắn good,1
14, Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn và Thời gian giao hàng rất nhanh  Shop phục vụ rất tốt,1
15,Mình mua bình này cách đây hơn 1 năm thấy sản phẩm đang giảm 45% nên vào góp ý cho các bạn định mua. Phải nói bình quá tệ lại hôi nữa chưa kể chỉ cần bình va chạm nhẹ là bị móp nhìn rất xấu nhất là cái nắp móp vô độ hở phát là móp. Mình xài được 1 thời gian là bên trong bình có cái gì như cục sỏi vậy rửa bình rất sạch không đụng gì nhưng lúc lắc lại nghe tiếng kêu bên trong. Rất ức chế vì chả biết cái bình nó chứa cái gì trong đó mà không biết nó độc hại hay không. Bây giờ mình đã vứt em nó 1 xó và không xài được nửa năm rùi. Công nhận hàng tàu mà rẻ có khác. Siêu cùi giảm 80% mình cũng không thèm mua lại,0
16,Đóng gói sp tốt ..giao hàng nhanh ..chất lượng thì chưa dùng lâu mà lịch thì thấy k chạy rồi,1
