,data,label
180170,"Tuyệt vời, thực sự rất tốt khi mua hàng với Flipkart. Hãy mua nếu bạn mang theo trà hoặc cà phê. Nó có dung tích 350ml, thực sự tốt và giữ đồ uống nóng trong 6 giờ sử dụng của tôi. Cảm ơn một lần nữa Flipkart.",1
78571,"Bạn đã bao giờ xem bộ phim Người Đẹp và Quái Vật chưa? Chiếc laptop này của MSI vừa đẹp vừa mạnh mẽ. Bộ vi xử lý i5 10500H cùng với card đồ họa RTX 3050 4GB hoạt động mượt mà như bơ, vì i5 10500H có 6 lõi và 12 luồng nên sẽ không có vấn đề gò bó nào xảy ra. Chúng ta có màn hình với tần số làm tươi 144Hz, lại còn có màn hình chống chói với gam màu 45 NTSC, ở mức giá này thì thật sự là quá đủ. Webcam có thể được cải thiện một chút nhưng nhiều laptop chơi game gần đây cũng đã bỏ qua.",1
142919,"Sản phẩm tốt nhưng cần cung cấp thêm hướng dẫn về cách lắp đặt, chúng tôi chỉ bị kẹt với các con ốc.",0
130892,"Tôi đã sử dụng sản phẩm này trong 2 ngày qua, mất nhiều thời gian để đun nước và nước không nóng như mong đợi. Tôi đã sử dụng AOSmith trong 5 năm, sản phẩm đó tốt hơn nhiều so với cái này. Gợi ý của tôi là đừng mua sản phẩm này, nếu bạn sử dụng lần đầu tiên thì bạn sẽ không nhận ra sự khác biệt về chất lượng.",0
99139,"Nó mất quá lâu cho quá trình nướng hoặc nướng, không có ích gì.",0
45327,tốt,1
24811,nhàm chán sau vài ngày không thấy muốn lãng phí thời gian nói chuyện với một cái máy,0
112225,chất lượng tốt,1
137388,"Hãy cẩn thận, Mi không cung cấp dịch vụ cho máy lọc không khí. Máy lọc không khí của tôi không hoạt động sau 11 tháng, mặc dù tôi đã sử dụng nó trong 2 tháng mùa thu hoạch vì tôi bị dị ứng phấn hoa. Khi tôi khởi động nó, nó không hoạt động. Tôi đã đến trung tâm dịch vụ Mi và họ nói rằng họ không cung cấp dịch vụ cho máy lọc không khí. Sau vài cuộc gọi đến số điện thoại miễn phí và gửi email, tôi nhận được một email nói rằng có thể thay thế nếu nó hỏng trong vòng 1 năm và không có dịch vụ cho máy lọc không khí, nghĩa là nếu nó hỏng sau 1 năm thì chỉ cần vứt đi.",0
98880,"Nó rất tốt, hãy cứ thử đi.",1
169274,Nó rất đẹp.,1
184338,sản phẩm tốt,1
93309,tốt,1
54325,sản phẩm tồi tệ nhất,0
116326,"rất tệ, chiếc tivi này và dịch vụ này đừng mua bất kỳ cái nào, đây là yêu cầu khiêm tốn của tôi.",0
56942,"Rất đẹp, cảm ơn rất nhiều Flipkart.",1
19337,sản phẩm rất hữu ích,1
197602,tốt,1
13107,"Vấn đề ngôn ngữ không rõ ràng, bot không thể giải thích nhiều.",0
112264,sản phẩm rất tệ,0
30682,sản phẩm rất tệ đừng mua,0
176818,"Máy xay mixi kêu rất nhiều, tôi không hài lòng.",0
5229,Sản phẩm đẹp nhưng âm thanh không hài lòng.,0
161024,rất tốt,1
42433,sản phẩm tốt,1
196150,sản phẩm tốt,1
117333,Nó tuyệt vời quá!,1
17878,"sản phẩm tốt, giá cả hợp lý, tôi rất thích sản phẩm này",1
153460,tốt,1
151544,tốt,1
187743,Chất lượng quá tệ.,0
17388,"Nó không hoạt động, trải nghiệm rất tệ, đừng mua, lãng phí thời gian, lãng phí tiền, đề xuất lặp lại, đừng mua.",0
30944,túi nóng rất tốt,1
124625,chất lượng tốt nhất,1
97576,Thật tuyệt vời!,1
125776,sản phẩm tệ nhất,0
33013,không hỗ trợ trên máy tính của tôi,0
4968,nhạc hay,1
144,cái quạt này không làm mát được phòng,0
45897,tuyệt vời,1
107905,lãng phí tiền bạc,0
3951,"sản phẩm không kết nối, spotly rất chậm",0
171462,sản phẩm tệ nhất,0
107770,Tốc độ rất chậm và phạm vi rất tồi.,0
47332,điều đó không tốt,0
107193,màu sắc không khớp,0
110396,"công việc tốt, dễ sử dụng, cảm ơn bạn",1
60515,xuất sắc,1
106203,sạc không hoạt động,0
124459,vấn đề bluetooth,0
125015,"Không nhiều tác dụng, nó sẽ tiêu tốn 4GB dữ liệu mỗi ngày, vì vậy cần có kết nối mạng nhanh, chỉ khi đó nó mới hoạt động. Giá của mặt hàng này rất cao.",0
53809,tốt,1
19979,"giao hàng trong một ngày, tôi có một chiếc laptop cũ nên usb 20 không cung cấp hơn 25mbps, rất dễ sử dụng, đi kèm với 136 tb lưu trữ và 2 năm bảo hành, tổng thể là một món mua rất tốt.",1
137139,"Sản phẩm thực hiện đúng như quảng cáo, chế độ ngủ hoàn toàn yên tĩnh và thoải mái. Bé nhà tôi đã bị khó thở một thời gian, nhờ sản phẩm này mà vấn đề đã biến mất. Nó còn có chế độ kháng virus và chế độ kháng phấn hoa. Rất hài lòng.",0
188233,tốt,1
133071,"Thân bằng nhựa chất lượng thấp không trông cao cấp so với khoảng cách giá giữa thân và nắp trong suốt phía trên, dễ dàng cho côn trùng vào.",0
11787,tốt,1
33774,Một loa phát ra âm thanh rất nhỏ.,0
186064,chất lượng tồi tệ nhất với giá 7500rs,0
142625,lãng phí tiền bạc,0
75916,rất đẹp,1
5634,"Đừng mua sản phẩm này. Hoàn toàn có thể thử một số sản phẩm khác trong cùng mức giá, có thể là Boat hoặc cái gì đó tương tự. Tôi chắc chắn rằng sản phẩm này không thể so sánh với loa Boat 5W. Đây là 15W nhưng trông giống như 3W. Thời gian pin không tốt. Tôi đã đặt hàng để trả nhưng đã lỡ một ngày của chính sách trả hàng. Đây là một đánh giá trung thực.",0
114757,"Tivi tốt và giá cả hợp lý nhưng độ sáng rất cao, chất lượng âm thanh không được như mong đợi, việc lắp đặt cũng đã thành công nhưng hơi bị lắp chéo một chút do nhân viên công ty. Được rồi, sẽ xem độ bền của tivi.",1
204520,rất tốt như mong đợi,1
135958,tuyệt vời,1
119977,Cú đập bên trái không hoạt động đúng cách.,0
62125,"Đừng mua sản phẩm này, chất lượng rất kém. Độ bền và chất lượng rất tệ. Theo ý kiến của tôi, đừng mua sản phẩm này.",0
49067,"Món hời tuyệt vời, giá tốt nhất.",1
30449,lãng phí tiền bạc,0
170129,giá trị cho tiền bạc,1
142798,Sản phẩm đẹp nhưng chất liệu vải chất lượng thấp.,0
74245,sản phẩm chất lượng rất kém,0
106366,sản phẩm bị hư hỏng,0
194635,"1 năm trước tôi đã mua cùng một bàn, sản phẩm rất tốt nhưng hôm nay tôi nhận được sản phẩm chất lượng kém, rất thất vọng.",0
170866,tốt,1
168877,tốt đẹp,1
104549,tuyệt vời,1
200065,tuyệt vời,1
198741,sản phẩm đẹp,1
107473,sản phẩm chất lượng kém,0
123743,Yêu nó,1
108573,Hay lắm！,1
25456,nếu bạn chỉ muốn một chiếc loa bluetooth hãy chọn sản phẩm khác cái này chỉ ở đây để theo dõi hoạt động của chúng tôi và gửi cho google chúng tôi đơn giản không thể bỏ qua điều đó ngoài ra việc thiết lập cũng khá phức tạp yêu cầu vị trí trực tiếp wifi bluetooth và ghi âm giọng nói nếu bạn không quan tâm đến quyền riêng tư của mình và muốn một chiếc loa âm thanh tốt hãy chọn cái này không có hoàn tiền hoặc trả hàng sau khi mua flipkart nói nói chuyện với google về việc trả hàng đừng mua,1
183260,tốt,1
179067,chất lượng rất kém xin đừng mua sản phẩm này,0
111443,tốt,1
100420,tốt,1
61031,hạnh phúc,1
17616,sản phẩm rất tốt,1
25500,micro không hoạt động,0
48164,tuyệt vời,1
161718,tốt,1
197137,thích quá,1
141753,dễ thương,1
37816,tốt,1
198952,sản phẩm tốt cho việc tặng quà,1
116567,"Chất lượng hình ảnh trên hộp giải mã rất kém, độ sáng rất thấp, mắt sẽ bắt đầu đau sau vài phút, vì vậy bạn không thể xem lâu. Tuy nhiên, một số thương hiệu khác thay vì Mi thì họ tốt trong điện thoại nhưng không tốt trên tivi, không đáng giá tiền.",0
